Department,text,Subtype
School Education Department (SCHOOL),Please look into this school building dilapidated matter.,School Building Dilapidated
Micro Small and Medium Enterprises Department (MSME),Problem faced: industrial shed allotment.,Industrial Shed Allotment
Environment Climate Change and Forests Department (ENVFOR),My grievance is about forest fire reporting.,Forest Fire Reporting
Labour Welfare and Skill Development Department (LBREMP),I have a complaint regarding pf claim settlement.,PF Claim Settlement
Human Resources Management Department (PAR),We are suffering due to service register entry missing.,Service Register Entry Missing
Co-operation Food and Consumer Protection Department (FOODCO),We are suffering due to co-operative loan issue.,Co-operative Loan Issue
Health and Family Welfare Department (HEALTH),We are suffering due to dengue/malaria outbreak.,Dengue/Malaria Outbreak
Industries Department (IND),"Issue with sipcot land allotment, please resolve.",SIPCOT Land Allotment
BC MBC and Minorities Welfare Department (BCMBC),Report on narikkuravar welfare board.,Narikkuravar Welfare Board
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Please look into this boat diesel subsidy matter.,Boat Diesel Subsidy
Tourism Culture and Religious Endowments Department (TOURCUL),Requesting help with heritage site protection.,Heritage Site Protection
Revenue and Disaster Management Department (REV),My grievance is about cyclone relief not received.,Cyclone Relief Not Received
Tamil Dev. and Information Department (TAMINF),Urgent action needed on tamil scholar pension.,Tamil Scholar Pension
Legislative Assembly Department (LEGIS),Please look into this mla office not open matter.,MLA Office Not Open
Social Welfare and Women Empowerment Department (SWNM),Widow Pension,Widow Pension
Higher Education Department (HIGHEDU),"Issue with professor vacancy, please resolve.",Professor Vacancy
Environment Climate Change and Forests Department (ENVFOR),Complaint against ENVFOR for wild animal intrusion.,Wild Animal Intrusion
Home Prohibition and Excise Department (HOMEEXC),Requesting help with fir registration refusal.,FIR Registration Refusal
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Complaint against HHTK for powerloom electricity subsidy.,Powerloom Electricity Subsidy
Public Works Department (PWD),Dam Water Release issue,Dam Water Release
Legislative Assembly Department (LEGIS),Petition to Assembly Committee,Petition to Assembly Committee
Rural Development and Panchayat Raj Department (RDPR),"Issue with village water tank cleaning, please resolve.",Village Water Tank Cleaning
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Complaint against AHFISH for veterinary doctor unavailable.,Veterinary Doctor Unavailable
Housing and Urban Development Department (HUD),My grievance is about rental dispute.,Rental Dispute
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Complaint against HHTK for yarn subsidy not received.,Yarn Subsidy Not Received
Industries Department (IND),Problem faced: factory closure notice.,Factory Closure Notice
Youth Welfare and Sports Development Department (YOUTHSP),My grievance is about playground maintenance.,Playground Maintenance
Information Technology Department (IT),Government Email Issue issue,Government Email Issue
Finance Department (FIN),My grievance is about treasury bill pending.,Treasury Bill Pending
Highways and Minor Ports Department (HWY),Problem faced: road widening encroachment.,Road Widening Encroachment
Commercial Taxes and Registration Department (CTREG),"Issue with property registration delay, please resolve.",Property Registration Delay
Micro Small and Medium Enterprises Department (MSME),"Issue with udyam registration error, please resolve.",Udyam Registration Error
Industries Department (IND),Industrial Safety Violation issue,Industrial Safety Violation
Transport Department (TRANS),We are suffering due to bus not stopping.,Bus Not Stopping
BC MBC and Minorities Welfare Department (BCMBC),We are suffering due to free tools scheme.,Free Tools Scheme
Human Resources Management Department (PAR),"Issue with compassionate appointment delay, please resolve.",Compassionate Appointment Delay
Rural Development and Panchayat Raj Department (RDPR),Complaint against RDPR for gram sabha meeting.,Gram Sabha Meeting
Agriculture and Farmers welfares Department (AGRI),Please look into this crop insurance claim matter.,Crop Insurance Claim
Tamil Dev. and Information Department (TAMINF),I have a complaint regarding memorial maintenance.,Memorial Maintenance
Micro Small and Medium Enterprises Department (MSME),Requesting help with msme subsidy delay.,MSME Subsidy Delay
Municipal Administration and Water Supply Department (MAWS),Road Damage,Road Damage
Tourism Culture and Religious Endowments Department (TOURCUL),My grievance is about annadhanam quality.,Annadhanam Quality
Highways and Minor Ports Department (HWY),"Issue with toll plaza excess fee, please resolve.",Toll Plaza Excess Fee
Tourism Culture and Religious Endowments Department (TOURCUL),Please look into this annadhanam quality matter.,Annadhanam Quality
Public Works Department (PWD),Report on govt building maintenance.,Govt Building Maintenance
Co-operation Food and Consumer Protection Department (FOODCO),Complaint against FOODCO for ration shop closed.,Ration Shop Closed
Social Welfare and Women Empowerment Department (SWNM),I have a complaint regarding domestic violence helpline.,Domestic Violence Helpline
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Complaint against AHFISH for boat diesel subsidy.,Boat Diesel Subsidy
Highways and Minor Ports Department (HWY),Problem faced: bridge construction delay.,Bridge Construction Delay
Commercial Taxes and Registration Department (CTREG),Requesting help with gst return issue.,GST Return Issue
Highways and Minor Ports Department (HWY),We are suffering due to road widening encroachment.,Road Widening Encroachment
Home Prohibition and Excise Department (HOMEEXC),Requesting help with prison inmate welfare.,Prison Inmate Welfare
Adi Dravidar and Tribal Welfare Department (ADW),Please look into this atrocities on sc/st matter.,Atrocities on SC/ST
Public Elections Department (ELECTION),My grievance is about candidate malpractice.,Candidate Malpractice
Public Department (PUBLIC),"Issue with chief minister's special cell, please resolve.",Chief Minister's Special Cell
Public Works Department (PWD),PWD Guest House Booking,PWD Guest House Booking
Transport Department (TRANS),"Issue with bus pass issue, please resolve.",Bus Pass Issue
Public Works Department (PWD),Report on irrigation canal cleaning.,Irrigation Canal Cleaning
Highways and Minor Ports Department (HWY),Bridge Construction Delay,Bridge Construction Delay
Information Technology Department (IT),Problem faced: broadband connectivity infrastructure.,Broadband Connectivity Infrastructure
Rural Development and Panchayat Raj Department (RDPR),Problem faced: nrega wages pending.,NREGA Wages Pending
Housing and Urban Development Department (HUD),Please look into this slum clearance board tenement matter.,Slum Clearance Board Tenement
Transport Department (TRANS),RTO License Delay,RTO License Delay
Rural Development and Panchayat Raj Department (RDPR),Report on village water tank cleaning.,Village Water Tank Cleaning
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),"Issue with milk procurement price, please resolve.",Milk Procurement Price
Public Department (PUBLIC),Complaint against PUBLIC for chief minister's special cell.,Chief Minister's Special Cell
Human Resources Management Department (PAR),Urgent action needed on disciplinary action appeal.,Disciplinary Action Appeal
Agriculture and Farmers welfares Department (AGRI),Report on farm machinery subsidy.,Farm Machinery Subsidy
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),"Issue with fishing ban relief, please resolve.",Fishing Ban Relief
